; CSV, generated by libsigrok4DSL 0.2.0 on Wed Apr 17 14:33:03 2019
; Channels (3/16)
; Sample rate: 1 MHz
; Sample count: 9.562816M Samples
Time(s), 0: RX, 1: TX, 2: DE
3.963164,0,1,0
3.963684,1,1,0
3.963787,0,1,0
3.964204,1,1,0
3.964307,0,1,0
3.964724,1,1,0
3.964827,0,1,0
3.965764,1,1,0
3.965867,0,1,0
3.966804,1,1,0
3.966907,0,1,0
3.967844,1,1,0
3.967947,0,1,0
3.968884,1,1,0
3.968987,0,1,0
3.969924,1,1,0
3.970027,0,1,0
3.970132,1,1,0
3.97034,0,1,0
3.970444,1,1,0
3.970547,0,1,0
3.970965,1,1,0
3.971068,0,1,0
3.971172,1,1,0
3.971588,0,1,0
3.972005,1,1,0
3.972108,0,1,0
3.972213,1,1,0
3.972316,0,1,0
3.972525,1,1,0
3.972732,0,1,0
3.973045,1,1,0
3.973148,0,1,0
3.973357,1,1,0
3.97346,0,1,0
3.974085,1,1,0
3.974188,0,1,0
3.974397,1,1,0
3.974604,0,1,0
3.974709,1,1,0
3.974916,0,1,0
3.975125,1,1,0
5.105265,0,1,0
5.105369,1,1,0
5.106305,0,1,0
5.106409,1,1,0
5.107345,0,1,0
5.107449,1,1,0
5.108386,0,1,0
5.10849,1,1,0
5.109426,0,1,0
5.10953,1,1,0
5.110466,0,1,0
5.11057,1,1,0
5.111506,0,1,0
5.11161,1,1,0
5.112546,0,1,0
5.11265,1,1,0
5.113587,0,1,0
5.114523,1,1,0
5.114627,0,1,0
5.114731,1,1,0
5.115667,0,1,0
5.115771,1,1,0
5.115875,0,1,0
5.115979,1,1,0
5.116083,0,1,0
5.116291,1,1,0
5.116395,0,1,0
5.116499,1,1,0
5.116707,0,1,0
5.116811,1,1,0
5.116915,0,1,0
5.117643,1,1,0
5.117747,0,1,0
5.117851,1,1,0
5.118267,0,1,0
5.118684,1,1,0
5.118788,0,1,0
5.119308,1,1,0
5.119412,0,1,0
5.119724,1,1,0
5.119828,0,1,0
5.120036,1,1,0
5.12014,0,1,0
5.120764,1,1,0
5.120868,0,1,0
5.120972,1,1,0
5.121076,0,1,0
5.12118,1,1,0
5.121492,0,1,0
5.121804,1,1,0
5.121908,0,1,0
5.122012,1,1,0
5.122428,0,1,0
5.122844,1,1,0
5.122948,0,1,0
5.123052,1,1,0
5.123156,0,1,0
5.123364,1,1,0
5.123572,0,1,0
5.123884,1,1,0
5.123989,0,1,0
5.124613,1,1,0
5.124717,0,1,0
5.124925,1,1,0
5.125029,0,1,0
5.125965,1,1,0
5.126069,0,1,0
5.127005,1,1,0
5.127109,0,1,0
5.128045,1,1,0
5.128149,0,1,0
5.129085,1,1,0
5.129189,0,1,0
5.130126,1,1,0
5.13023,0,1,0
5.131166,1,1,0
5.13127,0,1,0
5.132206,1,1,0
5.13231,0,1,0
